filename,cluster_label
D002_c_0000002_patch_1_2.png,1
D002_c_0000005_patch_1_1.png,1
D002_c_0004195_patch_2_2.png,1
D002_c_0004196_patch_2_2.png,3
D002_c_0004197_patch_1_1.png,1
D002_c_0004199_patch_1_2.png,1
D002_c_0004200_patch_1_3.png,1
D002_c_0004201_patch_2_2.png,1
D002_c_0004202_patch_1_1.png,3
D002_c_0004206_patch_1_1.png,1
D002_c_0004210_patch_1_1.png,1
D002_c_0004211_patch_1_3.png,1
D002_c_0004212_patch_1_2.png,1
D002_c_0004213_patch_2_2.png,1
D002_c_0004214_patch_3_1.png,4
D002_c_0004216_patch_2_1.png,1
D002_c_0004217_patch_2_2.png,1
D002_c_0004218_patch_2_2.png,1
D002_c_0004219_patch_2_2.png,3
D002_c_0004221_patch_2_1.png,1
D002_c_0004227_patch_2_2.png,1
D002_c_0004229_patch_2_2.png,1
D002_c_0004230_patch_2_3.png,1
D002_c_0004231_patch_1_2.png,1
D002_c_0004232_patch_1_3.png,1
D002_c_0004234_patch_1_3.png,1
D002_c_0004800_patch_2_1.png,1
D002_c_0004801_patch_1_1.png,1
D002_c_0004804_patch_1_1.png,1
D002_c_0004806_patch_2_1.png,2
D002_c_0004807_patch_0_1.png,1
D002_c_0004808_patch_1_2.png,1
D002_c_0004809_patch_2_2.png,1
D002_c_0004811_patch_1_2.png,1
D002_c_0004815_patch_2_1.png,1
D002_c_0004817_patch_2_2.png,1
D002_c_0004818_patch_2_1.png,1
D002_c_0004819_patch_3_1.png,3
D002_c_0004821_patch_1_2.png,1
D002_c_0004822_patch_2_1.png,1
D002_c_0004824_patch_3_2.png,1
D002_c_0004828_patch_2_2.png,2
D002_c_0004829_patch_2_3.png,1
D002_c_0004830_patch_1_1.png,1
D002_c_0004831_patch_1_2.png,1
D002_c_0004832_patch_1_2.png,1
D002_c_0004833_patch_1_1.png,1
D002_c_0004834_patch_1_2.png,1
D002_c_0004836_patch_1_2.png,1
D002_c_0004837_patch_1_3.png,1
D002_c_0004838_patch_2_2.png,1
D002_c_0004840_patch_2_3.png,1
